workerid,proliferate.condition,f0,id,poa,response,slide_number_in_experiment,vot,word,error
13,young,3,pang_F0_3_VOT_7.wav,lab,lenis,94,7,pang,
13,young,2,pang_F0_2_VOT_5.wav,lab,lenis,95,5,pang,
13,young,7,pang_F0_7_VOT_5.wav,lab,asp,96,5,pang,
13,young,6,pang_F0_6_VOT_3.wav,lab,tense,97,3,pang,
13,young,6,pang_F0_6_VOT_1.wav,lab,tense,98,1,pang,
13,young,7,pang_F0_7_VOT_6.wav,lab,asp,99,6,pang,
13,young,6,pang_F0_6_VOT_6.wav,lab,lenis,100,6,pang,
13,young,4,pang_F0_4_VOT_3.wav,lab,lenis,101,3,pang,
13,young,6,pang_F0_6_VOT_2.wav,lab,tense,102,2,pang,
13,young,1,pang_F0_1_VOT_2.wav,lab,lenis,103,2,pang,
13,young,6,pang_F0_6_VOT_4.wav,lab,asp,104,4,pang,
13,young,3,pang_F0_3_VOT_4.wav,lab,lenis,105,4,pang,
13,young,4,pang_F0_4_VOT_4.wav,lab,lenis,106,4,pang,
13,young,1,pang_F0_1_VOT_5.wav,lab,lenis,107,5,pang,
13,young,4,pang_F0_4_VOT_6.wav,lab,asp,108,6,pang,
13,young,5,pang_F0_5_VOT_2.wav,lab,tense,109,2,pang,
13,young,1,pang_F0_1_VOT_6.wav,lab,lenis,110,6,pang,
13,young,4,pang_F0_4_VOT_2.wav,lab,lenis,111,2,pang,
13,young,5,pang_F0_5_VOT_1.wav,lab,tense,112,1,pang,
13,young,8,pang_F0_8_VOT_4.wav,lab,asp,113,4,pang,
13,young,5,pang_F0_5_VOT_8.wav,lab,asp,114,8,pang,
13,young,3,pang_F0_3_VOT_8.wav,lab,asp,115,8,pang,
13,young,8,pang_F0_8_VOT_1.wav,lab,tense,116,1,pang,
13,young,8,pang_F0_8_VOT_2.wav,lab,tense,117,2,pang,
13,young,5,pang_F0_5_VOT_3.wav,lab,asp,118,3,pang,
13,young,5,pang_F0_5_VOT_5.wav,lab,asp,119,5,pang,
13,young,1,pang_F0_1_VOT_4.wav,lab,lenis,120,4,pang,
13,young,7,pang_F0_7_VOT_7.wav,lab,asp,121,7,pang,
13,young,6,pang_F0_6_VOT_8.wav,lab,asp,122,8,pang,
13,young,3,pang_F0_3_VOT_1.wav,lab,tense,123,1,pang,
13,young,4,pang_F0_4_VOT_1.wav,lab,tense,124,1,pang,
13,young,7,pang_F0_7_VOT_3.wav,lab,asp,125,3,pang,
13,young,2,pang_F0_2_VOT_7.wav,lab,asp,126,7,pang,
13,young,6,pang_F0_6_VOT_5.wav,lab,asp,127,5,pang,
13,young,2,pang_F0_2_VOT_4.wav,lab,lenis,128,4,pang,
