"subject","age","asp_vot","asp_f0","tense_vot","tense_f0","asp_f0_reliance","fortis_f0_reliance","cluster"
427,30,3.67608181158753,4.39954202278866,-2.66016926340239,4.1118934613601,0.544792837435141,0.607184786745211,1
630,65,0.860743182859923,2.24310107522685,-3.19963566031257,1.69869811143206,0.722684802687075,0.346791009063279,5
492,32,1.61599595760807,4.06469401344911,-3.1581868869203,2.65318459163385,0.715528225296313,0.456550506438104,2
409,30,2.23640243441149,2.78921765524734,-3.10897135291737,2.57523821961757,0.554999702621113,0.453051244285688,1
567,64,3.05312664013992,3.07046938337421,-2.90688902483203,2.12843953214668,0.501416058731478,0.422701221590947,5
457,32,4.40663315102073,2.65188753995799,-2.80191447871238,2.25406738376279,0.37570018649195,0.445821888818901,2
511,30,3.33448093127994,3.61383273081006,-4.31827792869059,2.80085448929149,0.52010212931623,0.393426379065076,1
581,61,3.00103513046886,1.89872680839129,-3.48691049470318,1.36774112357962,0.387514093966982,0.281738264889834,4
433,58,2.75311165929086,2.99709137128149,-3.44141426119476,1.92036034548066,0.521214878039388,0.358157603844407,4
472,31,2.54435545588983,2.70003784642036,-1.71280501906277,2.53684794219181,0.514842745533783,0.596954143154993,2
499,59,2.52625612876764,3.54429536078363,-3.50315337305833,0.980144435171469,0.583850638098388,0.21862130893296,4
587,63,1.27593268876342,2.94021514541637,-2.8292953565532,2.06171009200204,0.697370030903663,0.421530933401649,4
512,72,3.1928945653864,3.91668566859211,-3.70574958178257,1.84323068074329,0.550902520218179,0.332174668774956,5
423,36,3.39370846201728,2.60513743854966,-3.37492269809561,1.76807864678441,0.434273105482415,0.343783430767441,2
572,59,2.42902979284483,4.1012380640442,-4.98464636779885,3.11874377521658,0.628035197624803,0.384869014100811,4
434,64,4.16622028450679,3.87221823299442,-2.65478984523796,2.42731146895441,0.481712738682253,0.477619653542888,5
575,57,3.3277238680164,2.65951986559933,-2.14453518101458,1.49201901899343,0.444197694953907,0.410283729303456,3
545,46,3.69999267979059,2.63450602146278,-2.16177893224633,1.37686618508612,0.415898107444793,0.389094170065871,3
393,28,2.10626591282659,3.60500585454044,-2.87579935394332,2.91825213229276,0.631208949841726,0.503663479557464,1
487,54,4.05347726960227,2.02970446859804,-1.75734349913125,1.13949711804075,0.333658364314877,0.393358582203659,3
440,50,3.87042655889511,4.06764301198595,-2.55255404781775,2.40918720726007,0.512422192280493,0.485552769361869,3
517,22,4.20585079468592,2.14220227976647,-1.96758835479306,1.75120108577426,0.337458155223641,0.470906221973974,1
425,33,1.21742024542464,2.5579545057603,-2.84142316865489,1.69985824631174,0.677536582284304,0.374312466236852,2
491,69,0.787611670277693,6.24677948711262,-4.5881049250839,5.82813963408314,0.888034137901156,0.559524078085701,5
421,30,3.1260545535426,2.24565584894325,-2.05363921954509,1.80728704005172,0.418052292600143,0.468096751539733,2
469,60,2.63102993952112,2.81686693172341,-3.07078472410705,1.88473511694544,0.517055847108926,0.380330455209145,4
448,61,3.02768483236302,2.84066290653059,-2.28364366085259,1.62367098868385,0.484065197381462,0.415546515783283,4
605,40,2.92153724352149,3.87726988884981,-2.84495729967374,3.98687445556015,0.57028678904405,0.583573278499692,2
628,68,1.81248176364987,2.86300270402387,-3.44905583686559,2.06559194456805,0.612343538689658,0.374564618890503,5
610,49,2.96537782688175,3.68186720545871,-2.77501848198004,2.43923552021806,0.553893708979515,0.46780143797939,3
418,26,1.62990258962562,3.09793670339858,-2.19130697340248,2.34342536324311,0.655254231667626,0.516772587503273,1
507,25,1.97742909842789,2.32757261394655,-2.95825232309759,2.04210848551983,0.540667058797236,0.408392226817021,1
607,41,2.57338723571353,5.09983637666647,-4.87952686165003,4.39140993717321,0.664627623837051,0.47367488663396,2
467,60,2.70334973683569,2.74709752053258,-3.84256032491,1.71980731513948,0.504013228789413,0.309186200271397,4
535,55,2.27595323536055,3.85885541079292,-3.91544553925895,2.2048169647049,0.629009906154517,0.360248757839542,3
624,61,2.64170748155701,2.69397100923119,-3.18701718009199,1.24407385222839,0.50489755218239,0.280760165646365,4
541,66,3.16940349569545,4.40175002484694,-3.21885908639314,3.23037176755402,0.581384331053903,0.500892562339727,5
603,46,4.64553510520187,4.1712736814179,-2.67521512399564,3.09032289751261,0.473104700620042,0.535999049175325,3
474,57,5.41466582986365,2.88537817955656,-2.25047716492814,2.38761981430215,0.347634081973755,0.514784366302402,3
576,64,4.2119003543421,3.33653869626023,-2.88658865079643,2.41755617427733,0.442017041390033,0.455786230204171,5
401,34,2.82604534389923,3.86162410613517,-2.70119068356365,2.93409386198533,0.577424487706297,0.520664722121764,2
501,53,4.65301427125189,2.45317981182582,-4.39334420319793,1.95482528944062,0.345217113851096,0.307935270428345,3
486,51,3.04177902010706,3.11664909268681,-1.93618716600318,1.44466974785163,0.506078667413866,0.427308751793472,3
495,20,2.16576669613837,2.91174665580339,-3.30825061361076,1.67547170297425,0.573459182473616,0.336188815616504,1
471,26,3.47298479356092,2.09650832868694,-4.28888627811206,1.75184930657357,0.376427133074685,0.290005957389498,1
449,57,4.48624515373187,4.88262686789453,-2.88855464027797,2.07612492046718,0.521154185543771,0.418179037552138,4
548,67,2.86315116755804,2.81066171107646,-2.35936740347916,1.39185347206839,0.49537441068252,0.371040127533207,5
407,24,2.22672576565059,3.50184816401939,-2.65530676902603,2.49431665699683,0.611294923834758,0.484368749060789,1
584,64,3.80006289410401,3.05086636756589,-3.7526170627287,0.828992105749371,0.445321539755943,0.180939070807899,5
475,57,2.28031632714859,2.63561988996734,-2.88668118795344,1.62698254855422,0.536137934579143,0.360457190329614,4
593,40,1.9010210497999,1.9240992107861,-1.43135568874239,1.5380205401973,0.503016658224317,0.51796081790097,2
460,24,3.17154718147909,2.72849360348363,-1.79598114916593,3.02800021126232,0.462453346159516,0.627697328207236,1
615,41,3.14552559903754,2.71784655016935,-2.12572013788489,1.13595420640326,0.463529600545137,0.348273336482088,2
599,44,3.29679558033989,2.94020148232224,-2.41967481188849,2.89292957042976,0.471412997758777,0.54454074917722,3
